reference,baseline_hyp,finetuned_hyp,llm_repaired,speech_status,gender,duration
rock,Rock.,brook,brook,healthy,male,2.1
timber,Timber,timbae,timbae,healthy,female,2.4
at,at,at,at,healthy,female,1.5
tie,Kai,tie,tie,healthy,female,2.4
part,Part.,part,part,healthy,male,1.2
liquor,Licker.,licker,licker,healthy,male,3.45
hum,I'm...,hum/hum/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/,hum/hum/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/hung/,healthy,male,1.16
The pair of shoes was new,The pair of shoes was new.,The pair of shoes was new,The pair of shoes was new,healthy,female,3.75
You have to expect a few bad calls,You have to expect a few bad calls.,You have to expect a few bad calls,You have to expect a few bad calls,healthy,male,4.35
park,Park.,park,park,healthy,male,1.8
air,here.,air,air,healthy,male,1.2
write,Right,write,write,healthy,male,1.81
fudge,Fudge.,fudge,fudge,healthy,female,1.83
sigh,Sorry.,sigh,sigh,healthy,male,2.845
fender,Ender.,fender__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,fender__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,healthy,male,1.5
court,Court.,court,court,healthy,male,1.35
Both injuries were to the same leg,Both injuries were to the same leg.,Both injuries were to the same leg,Both injuries were to the same leg,healthy,male,3.21
The misguided souls have lost their way,The misguided souls have lost their way.,The misguided souls have lost their way,The misguided souls have lost their way,healthy,male,4.2
tie,TIE!,"tie,","tie,",healthy,female,1.89
sticks,Sticks.,sticks,sticks,healthy,female,2.145
She is thinner than I am,She is thinner than I am.,She is thinner than I am,She is thinner than I am,healthy,male,2.7
three,Three,3,3,healthy,male,1.775
night,No.,knight,knight,healthy,male,3.6
He wrapped the package hastily,You wrap the package hastily.,He wrapped the package hastily,He wrapped the package hastily,healthy,male,4.21
bad,bad,bad,bad,healthy,male,2.37
contrast,Contrast,contrast,contrast,healthy,female,2.71
bash,That's it.,bash,bash,healthy,male,2.37
coupe,Cooop!,coupe,coupe,healthy,female,3.15
tile,Tile.,tile,tile,healthy,female,1.65
I saw him a few weeks later,I saw him a few weeks later.,I saw him a few weeks later,I saw him a few weeks later,healthy,male,3.45
witch,which,witch,witch,healthy,male,1.54
start,dark,start,start,healthy,female,2.55
right,Right.,write,write,healthy,male,2.845
Both cars were slightly damaged,Both cars were slightly damaged.,Both cars were slightly damaged,Both cars were slightly damaged,healthy,male,4.055
knee,Knee.,neigh,neigh,healthy,male,1.8
The legislature met to judge the state of public education,The legislature met to judge the state of public education.,The legislator met to judge the state of public education,The legislator met to judge the state of public education,healthy,male,6.045
air,Beer.,"air,","air,",healthy,male,2.965
